step,train_loss,train_acc,dev_loss,dev_acc
0,34.449954986572266,0.1775,38.16844940185547,0.1707142857142857
100,1.4374854564666748,0.66625,1.0931507349014282,0.6672857142857143
200,0.6614073514938354,0.68225,0.835093080997467,0.6837142857142857
300,0.5942884087562561,0.75375,0.7155144214630127,0.7555714285714286
400,0.7718034386634827,0.76275,0.6901364922523499,0.7594285714285715
500,0.7598694562911987,0.76975,0.6217920780181885,0.7758571428571429
600,0.566156804561615,0.75975,0.7167389988899231,0.7592857142857142
700,1.1848663091659546,0.7745,0.6414991617202759,0.7862857142857143
800,0.9145517349243164,0.80225,0.5732578039169312,0.8005714285714286
900,0.3603336215019226,0.81,0.54912930727005,0.81
1000,0.5962721109390259,0.81575,0.5642471313476562,0.8068571428571428
1100,0.5601091384887695,0.795,0.5569092035293579,0.7964285714285714
1200,0.5087648630142212,0.805,0.5473005175590515,0.8035714285714286
1300,0.5376088619232178,0.817,0.5337821841239929,0.8144285714285714
1400,0.3412995934486389,0.82725,0.5229526162147522,0.8252857142857143
