step,train_loss,train_acc,dev_loss,dev_acc
0,2.319723606109619,0.142,2.2434308528900146,0.1412857142857143
100,0.7796327471733093,0.78175,0.6832624673843384,0.7815714285714286
200,0.49031925201416016,0.82625,0.5110093951225281,0.8267142857142857
300,0.7495004534721375,0.84325,0.4586591422557831,0.838
400,0.5768290162086487,0.86125,0.4247879683971405,0.8524285714285714
500,0.2512078881263733,0.8605,0.40740966796875,0.855
600,0.45409879088401794,0.8605,0.40106168389320374,0.8555714285714285
700,0.35374364256858826,0.8665,0.37228843569755554,0.8661428571428571
800,0.5459798574447632,0.86875,0.37483954429626465,0.8625714285714285
900,0.48662394285202026,0.8785,0.37683629989624023,0.8652857142857143
1000,0.40880289673805237,0.8795,0.3670576810836792,0.8682857142857143
1100,0.29647594690322876,0.87325,0.3673264980316162,0.8667142857142857
1200,0.28018227219581604,0.872,0.3562081456184387,0.8704285714285714
1300,0.4483417868614197,0.88175,0.3457418382167816,0.8758571428571429
1400,0.3684465289115906,0.88475,0.33631348609924316,0.8788571428571429
1500,0.2225131243467331,0.877,0.3422850966453552,0.8754285714285714
1600,0.5129136443138123,0.88575,0.3326423764228821,0.8804285714285714
1700,0.23180028796195984,0.8955,0.3309924304485321,0.8785714285714286
1800,0.2664240300655365,0.883,0.3276219069957733,0.8787142857142857
1900,0.40281397104263306,0.88925,0.35068315267562866,0.872
2000,0.37114372849464417,0.892,0.33420681953430176,0.8797142857142857
2100,0.3675023913383484,0.896,0.33371424674987793,0.8802857142857143
2200,0.3538825213909149,0.887,0.3313062787055969,0.8812857142857143
2300,0.3785021901130676,0.89325,0.3245701789855957,0.8838571428571429
2400,0.32195982336997986,0.894,0.33758851885795593,0.8815714285714286
