step,train_loss,train_acc,dev_loss,dev_acc
0,2.463137626647949,0.151,2.2948246002197266,0.15357142857142858
100,0.7292267084121704,0.7615,0.7235562205314636,0.7761428571428571
200,0.3106982111930847,0.82525,0.5516228079795837,0.8161428571428572
300,0.6383528709411621,0.84525,0.4815577566623688,0.8341428571428572
400,0.4012433886528015,0.84425,0.4529361426830292,0.8404285714285714
500,0.5248830318450928,0.8515,0.43478596210479736,0.847
600,0.3337503969669342,0.84275,0.4410656690597534,0.8337142857142857
700,0.40893855690956116,0.85525,0.4102519154548645,0.8521428571428571
800,0.2837502956390381,0.8615,0.3972627520561218,0.8557142857142858
900,0.302940309047699,0.871,0.39439117908477783,0.8577142857142858
1000,0.42695650458335876,0.85775,0.3883311152458191,0.8587142857142858
1100,0.3411037027835846,0.87025,0.37637192010879517,0.8597142857142858
1200,0.32980209589004517,0.85975,0.37728139758110046,0.8638571428571429
1300,0.3254382014274597,0.87525,0.36335256695747375,0.8682857142857143
1400,0.2507266402244568,0.868,0.378039687871933,0.8631428571428571
