step,train_loss,train_acc,dev_loss,dev_acc
0,38.73749923706055,0.13875,45.99000549316406,0.139
100,1.9618752002716064,0.3355,1.8258222341537476,0.33485714285714285
200,1.3173015117645264,0.37325,1.7348681688308716,0.3732857142857143
300,1.731670618057251,0.4265,1.5297555923461914,0.42828571428571427
400,0.9526561498641968,0.51025,1.5250070095062256,0.4957142857142857
500,1.2020013332366943,0.5415,1.4109216928482056,0.5281428571428571
600,1.2882004976272583,0.6165,1.1922904253005981,0.6207142857142857
700,0.7126270532608032,0.67575,1.1081770658493042,0.6601428571428571
800,1.428582787513733,0.71275,0.9301512241363525,0.7158571428571429
900,0.9289873242378235,0.73525,0.9080661535263062,0.7352857142857143
1000,0.5346081852912903,0.7485,0.8445024490356445,0.7408571428571429
1100,1.283109188079834,0.736,0.8678512573242188,0.73
1200,0.9616847038269043,0.75725,0.7758005261421204,0.7581428571428571
1300,0.9542496800422668,0.77325,0.8032926917076111,0.7612857142857142
1400,0.934508204460144,0.74575,0.7845106720924377,0.7528571428571429
1500,0.6199638843536377,0.7685,0.7439908385276794,0.772
1600,0.682231068611145,0.7535,0.7642155885696411,0.7448571428571429
1700,0.6605365872383118,0.75325,0.7830150127410889,0.7468571428571429
1800,1.0196559429168701,0.764,0.730061948299408,0.7637142857142857
1900,0.6354004144668579,0.763,0.6916560530662537,0.774
2000,0.8820578455924988,0.739,0.7562091946601868,0.7465714285714286
2100,0.638312041759491,0.755,0.7129091620445251,0.7631428571428571
2200,0.6449740529060364,0.79,0.6841023564338684,0.7844285714285715
