step,train_loss,train_acc,dev_loss,dev_acc
0,63.3889274597168,0.0555,52.292049407958984,0.054
100,2.203845977783203,0.2265,2.3254973888397217,0.229
200,2.103834867477417,0.30075,2.0477333068847656,0.30528571428571427
300,1.8686498403549194,0.3545,1.89742910861969,0.362
400,1.8799575567245483,0.39025,1.8106262683868408,0.3871428571428571
500,1.7553441524505615,0.3825,1.7472456693649292,0.39671428571428574
600,1.7471895217895508,0.40425,1.6982771158218384,0.41314285714285715
700,1.768815040588379,0.42075,1.6527305841445923,0.4225714285714286
800,1.43337082862854,0.44375,1.617759346961975,0.4337142857142857
900,1.5415400266647339,0.42925,1.579636573791504,0.447
1000,1.491603970527649,0.4475,1.5621864795684814,0.454
1100,1.536373496055603,0.4585,1.54606294631958,0.4585714285714286
1200,1.4612376689910889,0.46975,1.5310039520263672,0.4634285714285714
1300,1.4704234600067139,0.46325,1.5107698440551758,0.46914285714285714
1400,1.6412427425384521,0.46675,1.5201637744903564,0.4662857142857143
