step,train_loss,train_acc,dev_loss,dev_acc
0,27.69729232788086,0.1305,43.22883987426758,0.13357142857142856
100,2.4136037826538086,0.70825,1.7027473449707031,0.7157142857142857
200,0.9770418405532837,0.723,1.056063175201416,0.7147142857142857
300,0.8972598910331726,0.7425,0.7929962873458862,0.7515714285714286
400,0.9865622520446777,0.769,0.6718997359275818,0.7784285714285715
500,0.8539630174636841,0.7855,0.6148439049720764,0.789
600,0.4416283071041107,0.796,0.604138970375061,0.7945714285714286
700,0.6025505065917969,0.80675,0.5910291075706482,0.8048571428571428
800,0.4768938422203064,0.80675,0.5556096434593201,0.8097142857142857
900,0.5723166465759277,0.79825,0.6118374466896057,0.7965714285714286
1000,0.5711406469345093,0.82825,0.5421097874641418,0.8108571428571428
1100,0.6469640731811523,0.80275,0.5629425048828125,0.8015714285714286
1200,0.8197189569473267,0.7935,0.5928658843040466,0.7937142857142857
1300,0.3243958353996277,0.78625,0.5741430521011353,0.7961428571428572
1400,0.5449008941650391,0.8085,0.5444985628128052,0.8104285714285714
